material,mass_recover,mass_prod,virgin_ghg,F_r,in_circ,cell_frac,recycled_ghg_direct,fr_on_direct
LiCO3,41.33697887445953,41.33697887445953,11.82838,0.91,0.1,1.0,,0
copper,33.70028737243632,33.70028737243632,3.85988,0.96,0.32,1.0,,0
aluminium,53.0702835,53.0702835,14.36954,0.93,0.5,0.21838641996993607,2.3548,0
steel,99.7861565,99.7861565,2.96911,0.95,0.26,0.0,0.6481,1
CoSO4,17.34532163065482,17.34532163065482,6.08086,0.84,0.1,1.0,,0
NiSO4,138.5423665694946,138.5423665694946,7.41791,0.84,0.1,1.0,,0
MnSO4,16.89677308507337,16.89677308507337,0.77574,0.84,0.1,1.0,,0
PARAM_collection,0.9,,,,,,,
PARAM_cell_recycling_ghg_per_kg,2.369147547315619,,,,,,,
PARAM_cell_mass_kg,272.9094828,,,,,,,
